PersonalNumber
10374
10349
123456
9060310
9990005
20452
30950
67209
67184
9010043
60504
9665501
30957
655377
10208
40505
630182
10279
9060087
30966
660563
655529
665017
75143
60331
630087
9071066
30755
30760
9071026
75047
4210004
65111
74102
650017
4210291
655620
40466
67193
40293
4200018
4210372
40616
10066
67063
40056
40036
9040003
68287
9060402
630195
4210350
67081
9071057
176
10011
10135
65134
20058
10365
75001
30833
55207
75133
40278
40604
10190
10270
55742
10315
77057
45083
67016
4210302
9055001
67203
67227
65010
9071061
10177
30792
20479
10152
10213
10369
31006
650002
650023
650018
9067712
655628
655452
660591
9990015
65045
60321
30431
30939
20500
30302
60595
40518
72199
10353
40123
4210405
10061
67031
60169
55414
67190
4200048
20080
55741
10236
67070
9077024
9040017
74080
10137
75130
7010008
10380
20246
65127
4210198
40473
630034
9077029
50070
9665502
9010007
9068004
9068013
60437
15030
75138
67036
55402
67216
60580
25046
10345
10101
75006
30733
15087
10188
15105
55802
10162
75073
9010014
60473
10357
60461
55921
10292
10278
9040014
55903
75007
10347
10224
31045
55721
55732
67110
68293
665020
660439
75028
10001
30348
9060201
74104
10214
20442
10100
10058
15086
4210001
655625
67006
10228
74072
68185
75139
68331
10233
10259
4210284
9060418
10243
655590
10044
4210328
9077028
72003
7010005
9071027
68334
55808
50077
67222
10221
9068007
10338
65128
10254
68139
30998
74078
72064
40301
72169
9077025
655385
9055008
50149
9077004
9060362
10200
9025040
20055
55702
67051
9071037
68127
10096
74108
20116
4210327
30725
4210321
60543
67069
15143
30538
60484
60601
10351
655627
73013
40164
4210368
9077040
67167
10080
40275
630003
630142
630107
10262
70008
40470
73007
655639
40195
9071067
75005
70052
10311
68304
68260
67103
10314
30802
40486
72333
4210384
68242
9071038
630073
10339
9000004
4210364
68311
40392
68259
4210394
31018
74069
10107
9071055
655310
68221
4210382
45078
9077039
9665506
10244
40461
9067125
655652
4210255
50016
630192
72282
73003
77080
75054
68084
4210085
4210339
4210139
9071058
67197
4200047
10389
30628
30850
67164
9060273
4210351
9060031
55901
67007
9068003
4210174
15002
10238
4210330
30892
15029
55703
10024
60266
20494
67043
655663
68159
68240
68178
55803
30810
55503
50173
60404
10316
40381
40423
68012
630202
4210357
9060241
10068
9000001
4210109
55719
20403
40614
50114
68278
655654
74070
9010018
20187
65090
68321
30914
10035
75064
65129
67214
665016
10165
55416
65124
31034
660057
31016
10251
31037
50179
650004
55205
55919
10127
67182
65072
9077033
655662
610192
15041
65053
10161
60589
45001
60479
665022
68249
50074
770019
31044
75033
660593
15057
30992
50017
75089
3600001
9665503
60012
660583
60438
10363
10222
67025
67217
30986
40188
10005
10268
10361
10241
67068
67215
9665522
67092
60569
9060396
30549
30753
67029
9040015
10030
9060113
9068006
60532
30940
68201
67194
15109
60518
10280
30968
20432
68189
31042
74095
4210383
60258
630203
10291
60323
4210361
67226
10392
9077045
68324
4210317
60468
75119
4210376
65035
9077014
55707
55413
65120
9040001
60491
68266
67224
10166
77055
50080
31039
9665504
4210301
72140
31003
9067478
4210314
68147
55527
15004
10378
68193
67221
55504
55708
10348
67126
20017
9040021
65117
72223
65115
25044
68143
60470
67075
20506
10312
68294
9065004
67112
50062
10182
9025004
75061
4210390
72015
30391
60585
55529
50144
60462
10034
67195
67104
10008
10218
10179
55916
55747
10372
60011
10393
60424
630165
4210404
9040008
75069
30879
30934
4210399
665012
40607
10346
4210401
10335
10273
630200
10375
9990258
40474
77076
55920
30735
40521
9010019
9665505
4210192
15005
10384
9067711
4210124
68309
55507
40120
30949
40263
660489
68203
68135
31051
9990011
10230
30738
30761
74053
55801
10249
4200017
10366
55203
40468
660071
9990020
75141
40415
75036
20348
655660
20103
9071052
10082
68239
40132
40235
60587
4210257
10147
4210385
655405
10385
10158
10284
9665580
4200004
30468
72126
10077
9990003
70045
67177
70035
50177
60554
15119
3600002
31009
30988
4210306
10307
9030937
68200
20446
60400
655659
9077026
20485
9990002
20131
9040012
75066
68333
40167
655378
9990007
4210400
4210280
660517
31029
68310
9065007
10025
655614
40478
4210037
60575
74040
660455
4210363
67189
55517
55102
68148
30948
30941
9055003
65096
9060573
9060294
610150
65142
10382
9060485
10275
25039
55805
10342
60275
30570
20460
60478
60555
10328
30886
10067
40513
10379
655100
9060571
77082
55746
55211
10360
10354
4210267
30754
9666501
40432
65098
10258
20327
67201
60590
660476
650021
9067593
60545
60581
20431
9077042
20395
68295
60616
4210184
55305
4210187
55210
9065002
67048
10376
10128
67065
75011
75135
67003
67045
30884
60603
60135
4200010
68224
68232
630159
4210289
55723
20128
65091
67062
67080
9060013
55701
68082
20466
60588
10060
67082
60514
4210227
10086
30898
68171
610193
40498
660562
4210313
65068
